;Mã hàng;Tên s?n ph?m;ID;?? dày;B?n r?ng;"S? l??ng
(b?)";VND;;;;;;PUR-S;;;;
1;PUR-S 015x25x40;G?i ?? ?? vuông 21x25x40;21;25;40;1;9.000  ;;;015;14.500  ;11.600;G?i ?? ?? vuông;;;;
2;PUR-S 020x25x40;G?i ?? ?? vuông 28x25x40;28;25;40;1;9.300  ;;;020;14.900  ;12.000;Cùm Ula ;;;;
3;PUR-S 025x25x40;G?i ?? ?? vuông 34x25x40;34;25;40;1;10.000  ;;;025;16.200  ;13.000;Ula;;;;
4;PUR-S 032x25x40;G?i ?? ?? vuông 43x25x40;43;25;40;1;11.400  ;;;032;18.400  ;14.800;;CDT;THÂN THI?T;CHI?N L??C;??I L?
5;PUR-S 040x25x40;G?i ?? ?? vuông 49x25x40;49;25;40;1;12.300  ;;;040;19.800  ;15.900;;G1;G2;G3;G0
6;PUR-S 050x25x40;G?i ?? ?? vuông 60x25x40;60;25;40;1;13.900  ;;;050;22.500  ;18.000;;14.900  ;13.500  ;12.700  ;12.000  
7;PUR-S 065x25x40;G?i ?? ?? vuông 76x25x40;76;25;40;1;16.700  ;;;065;26.900  ;21.600;;;13.545;12.857;12.095
8;PUR-S 080x25x40;G?i ?? ?? vuông 89x25x40;89;25;40;1;20.600  ;;;080;33.300  ;26.700;;;10%;5%;5%
9;PUR-S 100x25x40;G?i ?? ?? vuông 110x25x40;110;25;40;1;25.000  ;;;100;40.600  ;32.500;;;;;
10;PUR-S 015x25x50;G?i ?? ?? vuông 21x25x50;21;25;50;1;11.500  ;;;015;14.900  ;14.900;G?i ?? ?? vuông;;;;
11;PUR-S 020x25x50;G?i ?? ?? vuông 28x25x50;28;25;50;1;11.500  ;;;020;14.900  ;14.900;Cùm Ula ;;;;
12;PUR-S 025x25x50;G?i ?? ?? vuông 34x25x50;34;25;50;1;12.500  ;;;025;16.200  ;16.200;;;;;
13;PUR-S 032x25x50;G?i ?? ?? vuông 43x25x50;43;25;50;1;14.200  ;;;032;18.400  ;18.400;;CDT;THÂN THI?T;CHI?N L??C;??I L?
14;PUR-S 040x25x50;G?i ?? ?? vuông 49x25x50;49;25;50;1;15.300  ;;;040;19.800  ;19.800;;G1;G2;G3;G0
15;PUR-S 050x25x50;G?i ?? ?? vuông 60x25x50;60;25;50;1;17.400  ;;;050;22.500  ;22.500;;14.900  ;13.500  ;12.700  ;12.000  
16;PUR-S 065x25x50;G?i ?? ?? vuông 76x25x50;76;25;50;1;20.700  ;;;065;26.900  ;26.900;;;13.545;12.857;12.095
17;PUR-S 080x25x50;G?i ?? ?? vuông 89x25x50;89;25;50;1;25.700  ;;;080;33.300  ;33.300;;;10%;5%;5%
18;PUR-S 100x25x50;G?i ?? ?? vuông 110x25x50;110;25;50;1;31.300  ;;;100;40.600  ;40.600;;;;;
19;PUR-S 015x32x40;G?i ?? ?? vuông 21x32x40;21;32;40;1;9.500  ;;;015;15.300  ;12.300;;;;;
20;PUR-S 020x32x40;G?i ?? ?? vuông 28x32x40;28;32;40;1;10.700  ;;;020;17.200  ;13.800;;;;;
21;PUR-S 025x32x40;G?i ?? ?? vuông 34x32x40;34;32;40;1;11.700  ;;;025;18.900  ;15.200;;;;;
22;PUR-S 032x32x40;G?i ?? ?? vuông 43x32x40;43;32;40;1;13.200  ;;;032;21.300  ;17.100;;;;;
23;PUR-S 040x32x40;G?i ?? ?? vuông 49x32x40;49;32;40;1;14.200  ;;;040;22.900  ;18.400;;;;;
24;PUR-S 050x32x40;G?i ?? ?? vuông 60x32x40;60;32;40;1;16.100  ;;;050;26.100  ;20.900;;;;;
25;PUR-S 065x32x40;G?i ?? ?? vuông 76x32x40;76;32;40;1;19.100  ;;;065;31.000  ;24.800;;;;;
26;PUR-S 080x32x40;G?i ?? ?? vuông 89x32x40;89;32;40;1;24.000  ;;;080;38.800  ;31.100;;;;;
27;PUR-S 015x32x50;G?i ?? ?? vuông 21x32x50;21;32;50;1;11.800  ;;;015;15.300  ;15.300;;;;;
28;PUR-S 020x32x50;G?i ?? ?? vuông 28x32x50;28;32;50;1;13.300  ;;;020;17.200  ;17.200;;;;;
29;PUR-S 025x32x50;G?i ?? ?? vuông 34x32x50;34;32;50;1;14.600  ;;;025;18.900  ;18.900;;;;;
30;PUR-S 032x32x50;G?i ?? ?? vuông 43x32x50;43;32;50;1;16.400  ;;;032;21.300  ;21.300;;;;;
31;PUR-S 040x32x50;G?i ?? ?? vuông 49x32x50;49;32;50;1;17.700  ;;;040;22.900  ;22.900;;;;;
32;PUR-S 050x32x50;G?i ?? ?? vuông 60x32x50;60;32;50;1;20.100  ;;;050;26.100  ;26.100;;;;;
33;PUR-S 065x32x50;G?i ?? ?? vuông 76x32x50;76;32;50;1;23.900  ;;;065;31.000  ;31.000;;;;;
34;PUR-S 080x32x50;G?i ?? ?? vuông 89x32x50;89;32;50;1;29.900  ;;;080;38.800  ;38.800;;;;;
35;PUR-S 100x32x50;G?i ?? ?? vuông 168x32x50;168;32;50;1;36.400  ;;;100;47.300  ;47.300;;;;;
36;PUR-S 125x32x50;G?i ?? ?? vuông 141x32x50;141;32;50;1;44.100  ;;;125;57.300  ;57.300;;;;;
37;PUR-S 150x32x50;G?i ?? ?? vuông 168x32x50;168;32;50;1;52.000  ;;;150;67.600  ;67.600;;;;;
38;PUR-S 015x40x40;G?i ?? ?? vuông 21x40x40;21;40;40;1;12.800  ;;;015;20.700  ;16.600;;;;;
39;PUR-S 020x40x40;G?i ?? ?? vuông 28x40x40;28;40;40;1;14.200  ;;;020;22.900  ;18.400;;;;;
40;PUR-S 025x40x40;G?i ?? ?? vuông 34x40x40;34;40;40;1;15.400  ;;;025;24.900  ;20.000;;;;;
41;PUR-S 032x40x40;G?i ?? ?? vuông 43x40x40;43;40;40;1;17.300  ;;;032;27.900  ;22.400;;;;;
42;PUR-S 040x40x40;G?i ?? ?? vuông 49x40x40;49;40;40;1;18.500  ;;;040;29.900  ;24.000;;;;;
43;PUR-S 050x40x40;G?i ?? ?? vuông 60x40x40;60;40;40;1;20.700  ;;;050;33.600  ;26.900;;;;;
44;PUR-S 065x40x40;G?i ?? ?? vuông 76x40x40;76;40;40;1;24.400  ;;;065;39.600  ;31.700;;;;;
45;PUR-S 080x40x40;G?i ?? ?? vuông 89x40x40;89;40;40;1;30.500  ;;;080;49.400  ;39.600;;;;;
46;PUR-S 015x40x50;G?i ?? ?? vuông 21x40x50;21;40;50;1;16.000  ;;;015;20.700  ;20.700;;;;;
47;PUR-S 020x40x50;G?i ?? ?? vuông 28x40x50;28;40;50;1;17.700  ;;;020;22.900  ;22.900;;;;;
48;PUR-S 025x40x50;G?i ?? ?? vuông 34x40x50;34;40;50;1;19.200  ;;;025;24.900  ;24.900;;;;;
49;PUR-S 032x40x50;G?i ?? ?? vuông 43x40x50;43;40;50;1;21.500  ;;;032;27.900  ;27.900;;;;;
50;PUR-S 040x40x50;G?i ?? ?? vuông 49x40x50;49;40;50;1;23.000  ;;;040;29.900  ;29.900;;;;;
51;PUR-S 050x40x50;G?i ?? ?? vuông 60x40x50;60;40;50;1;25.900  ;;;050;33.600  ;33.600;;;;;
52;PUR-S 065x40x50;G?i ?? ?? vuông 76x40x50;76;40;50;1;30.500  ;;;065;39.600  ;39.600;;;;;
53;PUR-S 080x40x50;G?i ?? ?? vuông 89x40x50;89;40;50;1;38.000  ;;;080;49.400  ;49.400;;;;;
54;PUR-S 100x40x50;G?i ?? ?? vuông 114x40x50;114;40;50;1;45.800  ;;;100;59.500  ;59.500;;;;;
55;PUR-S 125x40x50;G?i ?? ?? vuông 141x40x50;141;40;50;1;53.100  ;;;125;69.000  ;69.000;;;;;
56;PUR-S 150x40x50;G?i ?? ?? vuông 168x40x50;168;40;50;1;60.000  ;;;150;78.000  ;78.000;;;;;
57;PUR-S 200x40x50;G?i ?? ?? vuông 219x40x50;219;40;50;1;86.000  ;;;200;111.700  ;111.700;;;;;
58;PUR-S 250x40x50;G?i ?? ?? vuông 273x40x50;273;40;50;1;102.700  ;;;250;133.500  ;133.500;;;;;
59;PUR-S 300x40x80;G?i ?? ?? vuông 324x40x80;324;40;80;1;189.700  ;;;300;246.600  ;246.600;;;;;
60;PUR-S 300x40x50;G?i ?? ?? vuông 324x40x50;324;40;50;1;118.700  ;;;300;246.600  ;154.200;;;;;
61;PUR-S 015x50x40;G?i ?? ?? vuông 21x50x40;21;50;40;1;17.700  ;;;015;28.700  ;23.000;;;;;
62;PUR-S 020x50x40;G?i ?? ?? vuông 28x50x40;28;50;40;1;19.400  ;;;020;31.400  ;25.200;;;;;
63;PUR-S 025x50x40;G?i ?? ?? vuông 34x50x40;34;50;40;1;20.900  ;;;025;33.800  ;27.100;;;;;
64;PUR-S 032x50x40;G?i ?? ?? vuông 43x50x40;43;50;40;1;23.100  ;;;032;37.500  ;30.000;;;;;
65;PUR-S 040x50x40;G?i ?? ?? vuông 49x50x40;49;50;40;1;24.700  ;;;040;39.900  ;32.000;;;;;
66;PUR-S 050x50x40;G?i ?? ?? vuông 60x50x40;60;50;40;1;27.400  ;;;050;44.400  ;35.600;;;;;
67;PUR-S 065x50x40;G?i ?? ?? vuông 76x50x40;76;50;40;1;31.800  ;;;065;51.600  ;41.300;;;;;
68;PUR-S 080x50x40;G?i ?? ?? vuông 89x50x40;89;50;40;1;39.500  ;;;080;64.100  ;51.300;;;;;
69;PUR-S 015x50x50;G?i ?? ?? vuông 21x50x50;21;50;50;1;22.100  ;;;015;28.700  ;28.700;;;;;
70;PUR-S 020x50x50;G?i ?? ?? vuông 28x50x50;28;50;50;1;24.200  ;;;020;31.400  ;31.400;;;;;
71;PUR-S 025x50x50;G?i ?? ?? vuông 34x50x50;34;50;50;1;26.000  ;;;025;33.800  ;33.800;;;;;
72;PUR-S 032x50x50;G?i ?? ?? vuông 43x50x50;43;50;50;1;28.900  ;;;032;37.500  ;37.500;;;;;
73;PUR-S 040x50x50;G?i ?? ?? vuông 49x50x50;49;50;50;1;30.700  ;;;040;39.900  ;39.900;;;;;
74;PUR-S 050x50x50;G?i ?? ?? vuông 60x50x50;60;50;50;1;34.200  ;;;050;44.400  ;44.400;;;;;
75;PUR-S 065x50x50;G?i ?? ?? vuông 76x50x50;76;50;50;1;39.700  ;;;065;51.600  ;51.600;;;;;
76;PUR-S 080x50x50;G?i ?? ?? vuông 89x50x50;89;50;50;1;49.400  ;;;080;64.100  ;64.100;;;;;
77;PUR-S 100x50x50;G?i ?? ?? vuông 114x50x50;114;50;50;1;58.900  ;;;100;76.500  ;76.500;;;;;
78;PUR-S 125x50x50;G?i ?? ?? vuông 141x50x50;141;50;50;1;67.400  ;;;125;87.500  ;87.500;;;;;
79;PUR-S 150x50x50;G?i ?? ?? vuông 168x50x50;168;50;50;1;75.600  ;;;150;98.200  ;98.200;;;;;
80;PUR-S 200x50x50;G?i ?? ?? vuông 219x50x50;219;50;50;1;106.600  ;;;200;138.500  ;138.500;;;;;
81;PUR-S 250x50x50;G?i ?? ?? vuông 273x50x50;273;50;50;1;126.400  ;;;250;164.300  ;164.300;;;;;
82;PUR-S 300x50x80;G?i ?? ?? vuông 324x50x80;324;50;80;1;236.000  ;;;300;306.800  ;306.800;;;;;
83;PUR-S 350x50x80;G?i ?? ?? vuông 355x50x80;355;50;80;1;248.200  ;;;350;322.600  ;322.600;;;;;
84;PUR-S 400x50x80;G?i ?? ?? vuông 406x50x80;406;50;80;1;304.400  ;;;400;395.600  ;395.600;;;;;
85;PUR-S 450x50x80;G?i ?? ?? vuông 457x50x80;457;50;80;1;335.100  ;;;450;435.600  ;435.600;;;;;
86;PUR-S 500x50x100;G?i ?? ?? vuông 509x50x100;509;50;100;1;461.900  ;;;500;600.400  ;600.400;;;;;
87;PUR-S 550x50x100;G?i ?? ?? vuông 559x50x100;559;50;100;1;495.500  ;;;550;644.100  ;644.100;;;;;
88;PUR-S 600x50x100;G?i ?? ?? vuông 114x50x100;114;50;100;1;613.800  ;;;600;797.900  ;797.900;;;;;
89;PUR-S 300x50x50;G?i ?? ?? vuông 324x50x50;324;50;50;1;147.600  ;;;300;306.800  ;191.800;;;;;
90;PUR-S 350x50x50;G?i ?? ?? vuông 355x50x50;355;50;50;1;155.200  ;;;350;322.600  ;201.700;;;;;
91;PUR-S 400x50x65;G?i ?? ?? vuông 406x50x65;406;50;65;1;255.000  ;;;400;395.600  ;331.400;;;;;
92;PUR-S 450x50x65;G?i ?? ?? vuông 457x50x65;457;50;65;1;280.700  ;;;450;435.600  ;364.900;;;;;
93;PUR-S 500x50x80;G?i ?? ?? vuông 509x50x80;509;50;80;1;369.600  ;;;500;600.400  ;480.400;;;;;
94;PUR-S 550x50x80;G?i ?? ?? vuông 559x50x80;559;50;80;1;396.400  ;;;550;644.100  ;515.300;;;;;
95;PUR-S 600x50x80;G?i ?? ?? vuông 114x50x80;114;50;80;1;491.100  ;;;600;797.900  ;638.400;;;;;
96;PUR-S 350x50x80-TQ;G?i ?? ?? vuông 377x50x80;377;50;80;1;334.400  ;;Chi?u cao ?? H=60mm;350;451.400  ;451.400  ;;;;;
97;PUR-S 400x50x80-TQ;G?i ?? ?? vuông 426x50x80;426;50;80;1;368.300  ;;;400;497.100  ;497.100  ;;;;;
98;PUR-S 450x50x80-TQ;G?i ?? ?? vuông 478x50x80;478;50;80;1;404.000  ;;;450;545.300  ;545.300  ;;;;;
99;PUR-S 500x50x100-TQ;G?i ?? ?? vuông 529x50x100;529;50;100;1;547.400  ;;;500;738.900  ;738.900  ;;;;;
100;PUR-S 550x50x100-TQ;G?i ?? ?? vuông 559x50x100;559;50;100;1;614.900  ;;;550;830.000  ;830.000  ;;;;;
101;PUR-S 600x50x100-TQ;G?i ?? ?? vuông 630x50x100;630;50;100;1;650.300  ;;;600;877.800  ;877.800  ;;;;;
102;PUR-S 650x50x100-TQ;G?i ?? ?? vuông 659x50x100;659;50;100;1;814.900  ;;;650;1.100.000  ;1.100.000  ;;;;;
103;PUR-S 700x50x150-TQ;G?i ?? ?? vuông 720x50x150;720;50;150;1;957.800  ;;Chi?u cao ?? H=75mm;700;1.293.000  ;1.293.000  ;;;;;
104;PUR-S 800x50x150-TQ;G?i ?? ?? vuông 820x50x150;820;50;150;1;1.138.300  ;;;800;1.536.600  ;1.536.600  ;;;;;
105;PUR-S 900x50x200-TQ;G?i ?? ?? vuông 920x50x200;920;50;200;1;1.880.000  ;;"Chi?u cao ??
H=100mm";900;2.537.900  ;2.537.900  ;;;;;
106;PUR-S 1000x50x200-TQ;G?i ?? ?? vuông 1020x50x200;1020;50;200;1;2.189.500  ;;;1000;2.955.800  ;2.955.800  ;;;;;
107;PUR-S 350x50x50-TQ;G?i ?? ?? vuông 377x50x50;377;50;50;1;209.100  ;;Chi?u cao ?? H=60mm;350;451.400  ;282.200;;;;;
